Transaction ID,Date,Description,Amount,Currency,Supplier Name,Category,Subcategory
T0217,2025-02-03,Procurement of One-shot Software Purchase from Perry LLC,31425.52,EUR,Perry LLC,IT,One-shot Software Purchase
T0218,2024-12-26,Procurement of Lab Equipment from Mitchell Ltd,24760.77,GBP,Mitchell Ltd,R&D,Lab Equipment
T0219,2025-02-05,Procurement of Event Sponsorship from Webb-Tucker,43860.88,USD,Webb-Tucker,Marketing,Event Sponsorship
T0220,2025-01-03,"Procurement of Recurrent SaaS License from Day, Long and Bell",11475.77,USD,"Day, Long and Bell",IT,Recurrent SaaS License
T0221,2025-02-11,"Procurement of seize collaborative e-markets from Day, Long and Bell",48728.97,EUR,"Day, Long and Bell",,
T0222,2025-02-17,Procurement of Recruitment Services from Robertson LLC,18499.75,USD,Robertson LLC,HR & Training,Recruitment Services
T0223,2025-01-25,Procurement of transform enterprise paradigms from Patterson-Clayton,34279.47,EUR,Patterson-Clayton,,
T0224,2025-03-19,Procurement of Raw Materials from Wolfe-Lopez,22325.52,GBP,Wolfe-Lopez,Manufacturing,Raw Materials
T0225,2025-01-13,"Procurement of Production Equipment from Day, Long and Bell",36176.72,EUR,"Day, Long and Bell",Manufacturing,Production Equipment
T0226,2025-01-06,Procurement of Print Media from Humphrey Ltd,27859.12,GBP,Humphrey Ltd,Marketing,Print Media
T0227,2025-03-08,Procurement of Warehousing from Ramsey-Barnett,13012.92,GBP,Ramsey-Barnett,Logistics,Warehousing
T0228,2025-02-16,"Procurement of morph 24/365 mindshare from Bell, Shaffer and Zamora",38431.78,GBP,"Bell, Shaffer and Zamora",,
T0229,2025-03-16,Procurement of iterate cross-platform experiences from Taylor PLC,34885.62,EUR,Taylor PLC,,
T0230,2025-03-18,Procurement of Raw Materials from Melton PLC,15336.66,GBP,Melton PLC,Manufacturing,Raw Materials
T0231,2025-01-20,"Procurement of One-shot Software Purchase from Adams, Young and Hodges",8692.42,EUR,"Adams, Young and Hodges",IT,One-shot Software Purchase
T0232,2025-03-16,"Procurement of repurpose bricks-and-clicks deliverables from Murillo, Jackson and Guerrero",25276.89,GBP,"Murillo, Jackson and Guerrero",,
T0233,2025-02-07,Procurement of Raw Materials from Sherman-Martin,8723.31,EUR,Sherman-Martin,Manufacturing,Raw Materials
T0234,2025-01-30,Procurement of Last-mile Delivery from Sherman-Martin,42445.36,GBP,Sherman-Martin,Logistics,Last-mile Delivery
T0235,2024-12-28,Procurement of Print Media from Watson-Smith,21592.81,GBP,Watson-Smith,Marketing,Print Media
T0236,2025-02-28,Procurement of Cold Chain Transport from Hill PLC,37033.46,GBP,Hill PLC,Logistics,Cold Chain Transport
T0237,2025-02-20,"Procurement of Print Media from Bell, Shaffer and Zamora",19946.77,GBP,"Bell, Shaffer and Zamora",Marketing,Print Media
T0238,2025-01-14,Procurement of Cold Chain Transport from Webb-Tucker,40576.5,GBP,Webb-Tucker,Logistics,Cold Chain Transport
T0239,2025-01-08,Procurement of Recruitment Services from Patel LLC,36666.84,EUR,Patel LLC,HR & Training,Recruitment Services
T0240,2025-01-29,Procurement of Cold Chain Transport from Rodriguez LLC,43932.38,EUR,Rodriguez LLC,Logistics,Cold Chain Transport
T0241,2025-02-03,Procurement of Clinical Trials from Ramsey-Barnett,28453.88,EUR,Ramsey-Barnett,R&D,Clinical Trials
T0242,2025-01-11,"Procurement of facilitate back-end initiatives from Berry, Adkins and Davis",23037.45,EUR,"Berry, Adkins and Davis",,
T0243,2025-02-27,Procurement of Lab Equipment from Russell-Kim,14006.45,EUR,Russell-Kim,R&D,Lab Equipment
T0244,2025-03-19,Procurement of Research Services from Banks-Tate,15194.47,GBP,Banks-Tate,R&D,Research Services
T0245,2025-03-23,Procurement of Recurrent SaaS License from Haley Group,19737.06,EUR,Haley Group,IT,Recurrent SaaS License
T0246,2025-01-24,Procurement of Lab Equipment from Cross Inc,49909.69,GBP,Cross Inc,R&D,Lab Equipment
T0247,2025-01-22,"Procurement of Research Services from Mendez, Brennan and Yu",46585.06,EUR,"Mendez, Brennan and Yu",R&D,Research Services
T0248,2025-03-15,"Procurement of Warehousing from Smith, Aguilar and Finley",1147.1,EUR,"Smith, Aguilar and Finley",Logistics,Warehousing
T0249,2025-01-09,Procurement of One-shot Software Purchase from Ramsey-Barnett,25740.32,USD,Ramsey-Barnett,IT,One-shot Software Purchase
T0250,2025-02-14,Procurement of Raw Materials from Orozco-Davis,48555.06,USD,Orozco-Davis,Manufacturing,Raw Materials
T0251,2025-01-21,"Procurement of Temporary Staff from Monroe, Bryant and Dennis",33003.29,EUR,"Monroe, Bryant and Dennis",HR & Training,Temporary Staff
T0252,2025-02-10,Procurement of Recruitment Services from Jones Group,7697.72,EUR,Jones Group,HR & Training,Recruitment Services
T0253,2025-03-04,"Procurement of Recruitment Services from Sherman, Colon and Moore",29260.01,EUR,"Sherman, Colon and Moore",HR & Training,Recruitment Services
T0254,2025-01-24,Procurement of Last-mile Delivery from Hanna Ltd,21991.5,GBP,Hanna Ltd,Logistics,Last-mile Delivery
T0255,2025-03-24,Procurement of Employee Training from Haley Group,22758.64,GBP,Haley Group,HR & Training,Employee Training
T0256,2024-12-29,Procurement of expedite clicks-and-mortar deliverables from Matthews LLC,33189.11,USD,Matthews LLC,,
T0257,2025-02-04,"Procurement of Facility Maintenance from Phillips, Allen and Smith",47477.9,EUR,"Phillips, Allen and Smith",Manufacturing,Facility Maintenance
T0258,2025-01-19,"Procurement of productize web-enabled web services from Adams, Young and Hodges",509.0,GBP,"Adams, Young and Hodges",,
T0259,2025-02-13,Procurement of aggregate sticky paradigms from Matthews LLC,10942.61,GBP,Matthews LLC,,
T0260,2025-01-26,"Procurement of syndicate ubiquitous initiatives from Sanchez, Wu and Smith",38125.5,EUR,"Sanchez, Wu and Smith",,
T0261,2025-02-07,"Procurement of Employee Training from Huff, Thompson and Day",38403.78,GBP,"Huff, Thompson and Day",HR & Training,Employee Training
T0262,2025-01-24,Procurement of Digital Advertising from Davis-Smith,46897.68,EUR,Davis-Smith,Marketing,Digital Advertising
T0263,2025-02-16,Procurement of Cold Chain Transport from Phelps-Beck,8990.89,USD,Phelps-Beck,Logistics,Cold Chain Transport
T0264,2025-01-06,Procurement of Research Services from Dunlap-Weiss,33020.83,GBP,Dunlap-Weiss,R&D,Research Services
T0265,2025-03-06,Procurement of Facility Maintenance from Johnson Ltd,47446.26,EUR,Johnson Ltd,Manufacturing,Facility Maintenance
T0266,2025-03-16,Procurement of Print Media from Russell-Kim,21570.15,USD,Russell-Kim,Marketing,Print Media
T0267,2025-03-18,Procurement of morph ubiquitous deliverables from Wolfe-Lopez,12864.65,EUR,Wolfe-Lopez,,
T0268,2025-03-10,"Procurement of Temporary Staff from Jennings, Lawrence and Jackson",6482.7,USD,"Jennings, Lawrence and Jackson",HR & Training,Temporary Staff
T0269,2025-01-04,Procurement of morph strategic paradigms from Cross Inc,14534.23,USD,Cross Inc,,
T0270,2025-03-17,Procurement of Lab Equipment from Wall PLC,23936.5,GBP,Wall PLC,R&D,Lab Equipment
T0271,2025-01-26,Procurement of utilize value-added users from Nolan LLC,8210.28,USD,Nolan LLC,,
T0272,2025-03-15,Procurement of aggregate turn-key schemas from Horton Group,42829.56,USD,Horton Group,,
T0273,2025-02-24,Procurement of transition dot-com e-markets from Benton-Wang,7376.63,EUR,Benton-Wang,,
T0274,2025-01-20,"Procurement of Temporary Staff from Green, Thompson and Paul",11079.11,EUR,"Green, Thompson and Paul",HR & Training,Temporary Staff
T0275,2025-02-01,Procurement of Facility Maintenance from Combs PLC,4709.93,EUR,Combs PLC,Manufacturing,Facility Maintenance
T0276,2025-01-10,"Procurement of optimize back-end models from Townsend, Harper and Baker",47499.63,EUR,"Townsend, Harper and Baker",,
T0277,2025-03-15,Procurement of mesh world-class models from Davis-Smith,13161.99,EUR,Davis-Smith,,
T0278,2025-01-14,"Procurement of Production Equipment from Smith, Aguilar and Finley",7537.24,USD,"Smith, Aguilar and Finley",Manufacturing,Production Equipment
T0279,2025-01-13,"Procurement of enable cross-platform models from Monroe, Bryant and Dennis",18297.95,USD,"Monroe, Bryant and Dennis",,
T0280,2025-03-14,Procurement of aggregate one-to-one experiences from Smith and Sons,31447.71,EUR,Smith and Sons,,
T0281,2025-01-03,Procurement of utilize scalable communities from Perry LLC,36177.4,GBP,Perry LLC,,
T0282,2025-02-17,Procurement of Print Media from Nolan LLC,29497.5,USD,Nolan LLC,Marketing,Print Media
T0283,2025-03-25,Procurement of streamline world-class vortals from Hughes-Payne,40060.49,USD,Hughes-Payne,,
T0284,2025-02-15,Procurement of transition user-centric web-readiness from Mathews and Sons,13626.98,USD,Mathews and Sons,,
T0285,2024-12-26,Procurement of Recurrent SaaS License from Nolan LLC,29210.8,GBP,Nolan LLC,IT,Recurrent SaaS License
T0286,2025-03-01,Procurement of incentivize world-class web services from Collins-Donovan,46434.99,USD,Collins-Donovan,,
T0287,2025-01-12,Procurement of seize end-to-end models from Davis-Smith,3005.48,USD,Davis-Smith,,
T0288,2025-01-27,Procurement of Event Sponsorship from Collins-Donovan,637.24,USD,Collins-Donovan,Marketing,Event Sponsorship
T0289,2025-01-13,"Procurement of Last-mile Delivery from Cain, Price and Lozano",7084.4,GBP,"Cain, Price and Lozano",Logistics,Last-mile Delivery
T0290,2025-01-15,"Procurement of Recurrent SaaS License from Murillo, Jackson and Guerrero",10911.83,GBP,"Murillo, Jackson and Guerrero",IT,Recurrent SaaS License
T0291,2025-03-10,Procurement of Clinical Trials from Webb-Tucker,8833.84,EUR,Webb-Tucker,R&D,Clinical Trials
T0292,2025-02-18,Procurement of Lab Equipment from Stanley and Sons,35608.14,EUR,Stanley and Sons,R&D,Lab Equipment
T0293,2025-01-11,Procurement of Recruitment Services from Watson-Carson,14692.83,USD,Watson-Carson,HR & Training,Recruitment Services
T0294,2025-02-19,Procurement of Last-mile Delivery from Silva PLC,6822.88,GBP,Silva PLC,Logistics,Last-mile Delivery
T0295,2025-02-05,Procurement of target strategic channels from Rodriguez LLC,27703.94,USD,Rodriguez LLC,,
T0296,2025-02-25,Procurement of deploy synergistic ROI from Jones Group,35777.53,EUR,Jones Group,,
T0297,2025-02-24,Procurement of One-shot Software Purchase from Nelson Group,21383.44,GBP,Nelson Group,IT,One-shot Software Purchase
T0298,2025-01-12,"Procurement of One-shot Software Purchase from Randolph, Salas and Vasquez",10402.32,EUR,"Randolph, Salas and Vasquez",IT,One-shot Software Purchase
T0299,2025-02-04,"Procurement of Print Media from Berry, Adkins and Davis",39012.49,USD,"Berry, Adkins and Davis",Marketing,Print Media
T0300,2025-01-08,"Procurement of streamline ubiquitous solutions from Hooper, Robinson and Little",45984.67,EUR,"Hooper, Robinson and Little",,
T0301,2025-03-01,"Procurement of innovate 24/7 action-items from Lopez, Golden and Calhoun",820.63,EUR,"Lopez, Golden and Calhoun",,
T0302,2025-02-17,Procurement of productize compelling mindshare from Wang LLC,19644.3,EUR,Wang LLC,,
T0303,2025-02-15,Procurement of redefine 24/7 infrastructures from Brooks LLC,36163.39,GBP,Brooks LLC,,
T0304,2025-02-11,Procurement of Production Equipment from Hanna Ltd,36593.65,EUR,Hanna Ltd,Manufacturing,Production Equipment
T0305,2025-01-30,"Procurement of Production Equipment from Day, Long and Bell",42106.4,EUR,"Day, Long and Bell",Manufacturing,Production Equipment
T0306,2025-02-07,Procurement of Last-mile Delivery from Newman LLC,11371.74,GBP,Newman LLC,Logistics,Last-mile Delivery
T0307,2025-01-13,Procurement of deliver vertical e-commerce from Matthews LLC,12877.78,EUR,Matthews LLC,,
T0308,2025-03-17,"Procurement of engineer interactive metrics from Perez, Blackwell and Mckee",45064.58,EUR,"Perez, Blackwell and Mckee",,
T0309,2025-02-11,Procurement of generate synergistic markets from Juarez Inc,1443.67,USD,Juarez Inc,,
T0310,2025-02-22,Procurement of Research Services from Jones Group,7311.31,EUR,Jones Group,R&D,Research Services
T0311,2025-03-22,Procurement of Print Media from Stanley and Sons,46586.88,GBP,Stanley and Sons,Marketing,Print Media
T0312,2025-02-11,Procurement of implement virtual deliverables from Russell-Kim,8756.73,GBP,Russell-Kim,,
T0313,2025-02-04,Procurement of maximize granular e-commerce from Stanley and Sons,7808.33,EUR,Stanley and Sons,,
T0314,2025-03-09,"Procurement of Cold Chain Transport from Day, Long and Bell",36596.07,EUR,"Day, Long and Bell",Logistics,Cold Chain Transport
T0315,2025-02-22,"Procurement of Clinical Trials from Howard, Charles and Oneill",24710.31,USD,"Howard, Charles and Oneill",R&D,Clinical Trials
T0316,2024-12-28,Procurement of streamline viral convergence from Hanna Ltd,15506.0,USD,Hanna Ltd,,
T0317,2025-03-04,Procurement of expedite e-business web services from Avila-Miller,24239.59,GBP,Avila-Miller,,
T0318,2025-03-05,Procurement of implement bricks-and-clicks e-business from Hanna Ltd,38653.59,GBP,Hanna Ltd,,
T0319,2025-03-17,Procurement of Event Sponsorship from Gilbert-Velazquez,15119.02,EUR,Gilbert-Velazquez,Marketing,Event Sponsorship
T0320,2025-02-16,"Procurement of Employee Training from Day, Long and Bell",40332.14,EUR,"Day, Long and Bell",HR & Training,Employee Training
T0321,2025-01-11,Procurement of Production Equipment from Matthews LLC,45276.37,GBP,Matthews LLC,Manufacturing,Production Equipment
T0322,2025-03-24,Procurement of Print Media from Avila-Miller,44127.91,USD,Avila-Miller,Marketing,Print Media
T0323,2025-02-24,Procurement of Research Services from Banks-Tate,11950.66,USD,Banks-Tate,R&D,Research Services
T0324,2025-02-24,"Procurement of Print Media from Townsend, Harper and Baker",49284.4,EUR,"Townsend, Harper and Baker",Marketing,Print Media
T0325,2024-12-29,Procurement of Temporary Staff from Mathews and Sons,46713.19,USD,Mathews and Sons,HR & Training,Temporary Staff
T0326,2025-01-23,Procurement of aggregate dynamic niches from Perry-Jackson,7224.27,USD,Perry-Jackson,,
T0327,2025-01-26,"Procurement of Clinical Trials from Perez, Blackwell and Mckee",26803.3,GBP,"Perez, Blackwell and Mckee",R&D,Clinical Trials
T0328,2025-03-14,Procurement of Recurrent SaaS License from Webb-Tucker,2415.77,EUR,Webb-Tucker,IT,Recurrent SaaS License
T0329,2025-01-13,Procurement of optimize clicks-and-mortar bandwidth from Vargas-Becker,39458.06,USD,Vargas-Becker,,
T0330,2025-02-08,"Procurement of Clinical Trials from Alvarado, Smith and Williams",15891.78,GBP,"Alvarado, Smith and Williams",R&D,Clinical Trials
T0331,2024-12-29,Procurement of Digital Advertising from Hughes-Payne,12712.87,GBP,Hughes-Payne,Marketing,Digital Advertising
T0332,2025-03-03,Procurement of Temporary Staff from Smith and Sons,46716.27,GBP,Smith and Sons,HR & Training,Temporary Staff
T0333,2025-01-03,Procurement of visualize web-enabled initiatives from Haley Group,26157.7,USD,Haley Group,,
T0334,2025-02-22,Procurement of Employee Training from Burgess PLC,40215.65,EUR,Burgess PLC,HR & Training,Employee Training
T0335,2025-03-21,Procurement of maximize distributed technologies from Avila-Miller,8831.1,GBP,Avila-Miller,,
T0336,2025-03-21,Procurement of Facility Maintenance from Perry LLC,33078.58,EUR,Perry LLC,Manufacturing,Facility Maintenance
T0337,2025-01-07,"Procurement of Raw Materials from Day, Long and Bell",3495.25,USD,"Day, Long and Bell",Manufacturing,Raw Materials
T0338,2024-12-30,Procurement of One-shot Software Purchase from Perry-Jackson,5930.09,GBP,Perry-Jackson,IT,One-shot Software Purchase
T0339,2025-03-22,Procurement of Recruitment Services from Horton Group,10499.1,USD,Horton Group,HR & Training,Recruitment Services
T0340,2025-02-01,Procurement of orchestrate rich platforms from Ramsey-Barnett,39325.18,GBP,Ramsey-Barnett,,
T0341,2024-12-30,Procurement of empower transparent experiences from Contreras-Lucas,24651.94,EUR,Contreras-Lucas,,
T0342,2025-01-23,"Procurement of Facility Maintenance from Smith, Aguilar and Finley",19452.83,EUR,"Smith, Aguilar and Finley",Manufacturing,Facility Maintenance
T0343,2025-03-10,Procurement of optimize world-class e-tailers from Collins-Donovan,13672.72,GBP,Collins-Donovan,,
T0344,2025-01-17,Procurement of Raw Materials from Matthews LLC,33976.25,USD,Matthews LLC,Manufacturing,Raw Materials
T0345,2025-01-24,Procurement of Warehousing from Benton-Wang,45629.36,EUR,Benton-Wang,Logistics,Warehousing
T0346,2025-03-16,Procurement of seize integrated schemas from Phelps-Beck,24181.78,USD,Phelps-Beck,,
T0347,2025-01-06,Procurement of Recurrent SaaS License from Hughes-Payne,35520.99,GBP,Hughes-Payne,IT,Recurrent SaaS License
T0348,2025-03-01,Procurement of Temporary Staff from Ramsey-Barnett,21281.15,GBP,Ramsey-Barnett,HR & Training,Temporary Staff
T0349,2025-01-09,Procurement of Raw Materials from Humphrey Ltd,24100.63,GBP,Humphrey Ltd,Manufacturing,Raw Materials
T0350,2025-01-21,Procurement of Temporary Staff from Melton PLC,6562.33,USD,Melton PLC,HR & Training,Temporary Staff
T0351,2025-03-05,Procurement of Last-mile Delivery from Cross Inc,12926.26,USD,Cross Inc,Logistics,Last-mile Delivery
T0352,2025-02-08,"Procurement of Event Sponsorship from Monroe, Bryant and Dennis",1883.13,USD,"Monroe, Bryant and Dennis",Marketing,Event Sponsorship
T0353,2025-03-08,Procurement of Clinical Trials from Gilbert-Velazquez,4836.34,GBP,Gilbert-Velazquez,R&D,Clinical Trials
T0354,2025-02-26,Procurement of Employee Training from Orozco-Davis,33142.91,USD,Orozco-Davis,HR & Training,Employee Training
T0355,2025-03-11,"Procurement of facilitate ubiquitous models from Sanchez, Wu and Smith",36080.67,USD,"Sanchez, Wu and Smith",,
T0356,2025-03-17,"Procurement of Last-mile Delivery from Green, Thompson and Paul",2147.64,GBP,"Green, Thompson and Paul",Logistics,Last-mile Delivery
T0357,2025-01-08,Procurement of Lab Equipment from Coleman Inc,35025.69,USD,Coleman Inc,R&D,Lab Equipment
T0358,2025-03-16,Procurement of Production Equipment from Williams PLC,40413.55,GBP,Williams PLC,Manufacturing,Production Equipment
T0359,2025-01-23,"Procurement of Print Media from Day, Long and Bell",848.49,GBP,"Day, Long and Bell",Marketing,Print Media
T0360,2025-01-26,Procurement of extend robust technologies from Taylor PLC,26132.49,USD,Taylor PLC,,
T0361,2025-02-22,"Procurement of Facility Maintenance from Green, Thompson and Paul",5237.63,EUR,"Green, Thompson and Paul",Manufacturing,Facility Maintenance
T0362,2025-03-01,Procurement of Print Media from Silva PLC,33166.28,USD,Silva PLC,Marketing,Print Media
T0363,2025-01-24,Procurement of Recruitment Services from Smith Inc,36668.8,EUR,Smith Inc,HR & Training,Recruitment Services
T0364,2025-03-14,Procurement of Print Media from Wang LLC,32664.94,USD,Wang LLC,Marketing,Print Media
T0365,2025-01-09,Procurement of Lab Equipment from Rodriguez Group,18242.91,USD,Rodriguez Group,R&D,Lab Equipment
T0366,2025-02-04,Procurement of Lab Equipment from Bailey-Sanchez,34750.1,GBP,Bailey-Sanchez,R&D,Lab Equipment
T0367,2025-01-20,"Procurement of engage wireless bandwidth from Monroe, Bryant and Dennis",18135.99,USD,"Monroe, Bryant and Dennis",,
T0368,2025-03-09,Procurement of Professional IT Services from Collins-Donovan,48015.94,EUR,Collins-Donovan,IT,Professional IT Services
T0369,2025-01-18,Procurement of re-intermediate front-end models from Rodriguez Group,33704.47,EUR,Rodriguez Group,,
T0370,2025-01-21,Procurement of expedite impactful interfaces from Wall PLC,36538.38,USD,Wall PLC,,
T0371,2025-03-21,"Procurement of integrate strategic convergence from Smith, Aguilar and Finley",38018.89,USD,"Smith, Aguilar and Finley",,
T0372,2025-01-06,Procurement of enhance vertical paradigms from Patel LLC,7868.54,EUR,Patel LLC,,
T0373,2025-03-05,Procurement of Print Media from Hanna Ltd,25258.64,USD,Hanna Ltd,Marketing,Print Media
T0374,2025-03-15,Procurement of Raw Materials from Russell-Kim,24014.52,EUR,Russell-Kim,Manufacturing,Raw Materials
T0375,2025-03-11,Procurement of reinvent wireless deliverables from Taylor PLC,40222.93,GBP,Taylor PLC,,
T0376,2025-01-30,"Procurement of Production Equipment from West, Jones and Koch",25704.07,EUR,"West, Jones and Koch",Manufacturing,Production Equipment
T0377,2025-02-15,Procurement of Digital Advertising from Russell-Kim,23707.48,GBP,Russell-Kim,Marketing,Digital Advertising
T0378,2025-02-14,Procurement of Facility Maintenance from Humphrey Ltd,36976.49,USD,Humphrey Ltd,Manufacturing,Facility Maintenance
T0379,2025-01-01,Procurement of Facility Maintenance from Mathews and Sons,1341.26,USD,Mathews and Sons,Manufacturing,Facility Maintenance
T0380,2025-01-12,Procurement of Print Media from Phelps-Beck,12155.06,GBP,Phelps-Beck,Marketing,Print Media
T0381,2025-01-11,Procurement of Temporary Staff from Young-Anderson,7450.79,USD,Young-Anderson,HR & Training,Temporary Staff
T0382,2025-02-04,Procurement of Facility Maintenance from Coleman Inc,20722.93,USD,Coleman Inc,Manufacturing,Facility Maintenance
T0383,2024-12-26,Procurement of strategize end-to-end initiatives from Johnson Ltd,46417.35,GBP,Johnson Ltd,,
T0384,2025-03-15,Procurement of target viral methodologies from Perry-Jackson,36396.18,GBP,Perry-Jackson,,
T0385,2025-01-19,Procurement of One-shot Software Purchase from Hanna Ltd,48793.06,USD,Hanna Ltd,IT,One-shot Software Purchase
T0386,2025-03-07,Procurement of deploy intuitive content from Orozco-Davis,10755.46,GBP,Orozco-Davis,,
T0387,2025-02-26,Procurement of Raw Materials from Perry LLC,28308.14,USD,Perry LLC,Manufacturing,Raw Materials
T0388,2025-02-08,Procurement of deliver robust experiences from Matthews LLC,31902.43,USD,Matthews LLC,,
T0389,2025-01-17,"Procurement of maximize cross-media vortals from Scott, West and Brown",33482.58,USD,"Scott, West and Brown",,
T0390,2025-02-18,"Procurement of One-shot Software Purchase from Jennings, Lawrence and Jackson",945.22,USD,"Jennings, Lawrence and Jackson",IT,One-shot Software Purchase
T0391,2025-01-12,Procurement of Clinical Trials from Young-Anderson,40274.34,USD,Young-Anderson,R&D,Clinical Trials
T0392,2025-01-15,Procurement of Event Sponsorship from Young-Anderson,43193.12,EUR,Young-Anderson,Marketing,Event Sponsorship
T0393,2025-01-28,Procurement of Raw Materials from Russell-Kim,29007.57,EUR,Russell-Kim,Manufacturing,Raw Materials
T0394,2025-01-15,Procurement of Recruitment Services from Burgess PLC,28250.59,EUR,Burgess PLC,HR & Training,Recruitment Services
T0395,2025-02-24,Procurement of Professional IT Services from Wang LLC,39761.59,GBP,Wang LLC,IT,Professional IT Services
T0396,2025-03-16,Procurement of envisioneer magnetic bandwidth from Wall PLC,8298.98,USD,Wall PLC,,
T0397,2025-02-20,Procurement of Raw Materials from Gilbert-Velazquez,49106.36,EUR,Gilbert-Velazquez,Manufacturing,Raw Materials
T0398,2025-01-22,Procurement of Cold Chain Transport from Combs PLC,41203.38,USD,Combs PLC,Logistics,Cold Chain Transport
T0399,2025-03-11,"Procurement of drive rich niches from Huff, Thompson and Day",8658.38,USD,"Huff, Thompson and Day",,
T0400,2025-03-22,"Procurement of Lab Equipment from Alvarado, Smith and Williams",15307.28,EUR,"Alvarado, Smith and Williams",R&D,Lab Equipment
T0401,2024-12-31,Procurement of Professional IT Services from Benton-Wang,9412.87,GBP,Benton-Wang,IT,Professional IT Services
T0402,2025-01-15,Procurement of Facility Maintenance from Newman LLC,33937.4,USD,Newman LLC,Manufacturing,Facility Maintenance
T0403,2024-12-26,Procurement of Professional IT Services from Bailey-Sanchez,40876.73,USD,Bailey-Sanchez,IT,Professional IT Services
T0404,2025-02-19,"Procurement of Temporary Staff from Phillips, Allen and Smith",39960.98,EUR,"Phillips, Allen and Smith",HR & Training,Temporary Staff
T0405,2025-02-23,"Procurement of e-enable dynamic architectures from West, Jones and Koch",2031.34,EUR,"West, Jones and Koch",,
T0406,2025-03-22,Procurement of One-shot Software Purchase from Dunlap-Weiss,48197.36,EUR,Dunlap-Weiss,IT,One-shot Software Purchase
T0407,2025-01-31,Procurement of mesh seamless action-items from Johnson Ltd,13117.38,EUR,Johnson Ltd,,
T0408,2025-01-24,"Procurement of e-enable synergistic experiences from Townsend, Harper and Baker",7712.15,USD,"Townsend, Harper and Baker",,
T0409,2025-01-31,Procurement of Production Equipment from Smith and Sons,5696.82,GBP,Smith and Sons,Manufacturing,Production Equipment
T0410,2025-02-17,Procurement of reinvent global e-tailers from Watson-Smith,23125.35,EUR,Watson-Smith,,
T0411,2025-01-07,Procurement of Raw Materials from Taylor PLC,14366.69,EUR,Taylor PLC,Manufacturing,Raw Materials
T0412,2025-02-11,"Procurement of Print Media from Sanchez, Wu and Smith",2647.16,GBP,"Sanchez, Wu and Smith",Marketing,Print Media
T0413,2025-02-23,Procurement of Employee Training from Rodriguez Group,38268.78,GBP,Rodriguez Group,HR & Training,Employee Training
T0414,2025-02-13,Procurement of Facility Maintenance from Reid-Reynolds,27168.0,GBP,Reid-Reynolds,Manufacturing,Facility Maintenance
T0415,2024-12-30,Procurement of architect interactive networks from Johnson Ltd,6000.03,GBP,Johnson Ltd,,
T0416,2025-01-04,Procurement of monetize dynamic channels from Watson-Carson,34772.89,GBP,Watson-Carson,,
T0417,2025-01-29,Procurement of optimize collaborative content from Burgess PLC,18016.61,USD,Burgess PLC,,
T0418,2025-02-06,Procurement of empower cross-platform e-tailers from Horton Group,14609.2,GBP,Horton Group,,
T0419,2025-01-31,Procurement of Warehousing from Haley Group,44851.62,GBP,Haley Group,Logistics,Warehousing
T0420,2025-01-10,"Procurement of One-shot Software Purchase from Murillo, Jackson and Guerrero",15824.76,USD,"Murillo, Jackson and Guerrero",IT,One-shot Software Purchase
T0421,2025-03-04,Procurement of target robust bandwidth from Melton PLC,29071.13,EUR,Melton PLC,,
T0422,2025-03-11,Procurement of benchmark 24/365 partnerships from Phelps-Beck,47491.55,USD,Phelps-Beck,,
T0423,2025-01-31,"Procurement of Production Equipment from Cook, Rivera and Cox",4054.26,EUR,"Cook, Rivera and Cox",Manufacturing,Production Equipment
T0424,2025-01-11,"Procurement of Warehousing from Bell, Shaffer and Zamora",45490.8,EUR,"Bell, Shaffer and Zamora",Logistics,Warehousing
T0425,2025-03-08,Procurement of morph dynamic architectures from Watson-Smith,43528.69,USD,Watson-Smith,,
T0426,2025-03-10,Procurement of One-shot Software Purchase from Rodriguez Group,18879.81,USD,Rodriguez Group,IT,One-shot Software Purchase
T0427,2025-03-08,Procurement of Print Media from Hanna Ltd,6844.73,USD,Hanna Ltd,Marketing,Print Media
T0428,2025-03-06,Procurement of extend cutting-edge e-markets from Mitchell Ltd,17022.22,EUR,Mitchell Ltd,,
T0429,2025-02-08,Procurement of Event Sponsorship from Newman LLC,17028.37,GBP,Newman LLC,Marketing,Event Sponsorship
T0430,2025-02-19,Procurement of Clinical Trials from Johnson Ltd,6435.0,GBP,Johnson Ltd,R&D,Clinical Trials
T0431,2025-03-23,Procurement of Research Services from Mitchell Ltd,37443.84,USD,Mitchell Ltd,R&D,Research Services
T0432,2025-03-22,"Procurement of envisioneer cutting-edge methodologies from May, Osborne and Randolph",9680.63,GBP,"May, Osborne and Randolph",,
T0433,2024-12-25,Procurement of Clinical Trials from Silva PLC,44849.86,EUR,Silva PLC,R&D,Clinical Trials
T0434,2025-02-27,Procurement of Professional IT Services from Avila-Miller,17371.03,USD,Avila-Miller,IT,Professional IT Services
T0435,2025-02-11,Procurement of Lab Equipment from Rodriguez LLC,42526.63,GBP,Rodriguez LLC,R&D,Lab Equipment
T0436,2025-02-20,Procurement of Raw Materials from Smith and Sons,31984.98,EUR,Smith and Sons,Manufacturing,Raw Materials
T0437,2025-03-05,Procurement of redefine B2C relationships from Smith and Sons,47161.02,USD,Smith and Sons,,
T0438,2025-01-02,Procurement of Print Media from Davis-Smith,41009.97,GBP,Davis-Smith,Marketing,Print Media
T0439,2025-03-16,Procurement of revolutionize sticky infrastructures from Horton Group,39387.01,EUR,Horton Group,,
