Date;Supplier;Category;Amount Spent;Quantity Purchased;Country;Price Change (%)
13/04/2024;Supplier E;Consulting;24161,72;124;India;7,51
02/03/2024;Supplier E;Office Supplies;48035,55;593;UK;6,74
30/01/2024;Supplier E;Raw Materials;46900,23;499;France;-1,31
07/05/2024;Supplier E;Raw Materials;45240,37;454;USA;-7,97
01/08/2023;Supplier E;IT Equipment;31372,49;487;Germany;8,04
02/02/2024;Supplier E;Office Supplies;10098,65;277;USA;-3,24
25/02/2024;Supplier C;Logistics;27641,78;44;France;-8,93
06/12/2023;Supplier C;Consulting;44821,01;587;USA;-5,25
17/07/2024;Supplier A;IT Equipment;35784,33;336;USA;10,25
21/12/2023;Supplier D;Raw Materials;42373,37;989;China;8,31
23/11/2023;Supplier B;Raw Materials;31707,69;852;USA;1,99
28/10/2023;Supplier C;Raw Materials;29338,76;471;Germany;1,18
22/07/2024;Supplier C;Consulting;29413,49;982;USA;11,9
30/01/2023;Supplier D;Logistics;18871,53;104;Brazil;7,9
09/07/2024;Supplier A;Raw Materials;43993,17;189;France;-7,97
22/05/2024;Supplier C;Office Supplies;41894,18;45;Brazil;10,29
20/04/2024;Supplier A;Consulting;8642,66;833;Brazil;13,52
02/12/2024;Supplier D;Logistics;1395,41;553;Germany;-5,24
03/12/2023;Supplier A;IT Equipment;37556,47;322;USA;-2,47
13/12/2023;Supplier D;Logistics;24996,49;529;USA;13,26
27/12/2024;Supplier C;Logistics;14731,73;411;Brazil;7,21
11/11/2023;Supplier E;IT Equipment;37832,58;698;Germany;11,76
14/06/2024;Supplier D;Logistics;46495,01;102;India;-7,8
21/12/2024;Supplier E;Raw Materials;4262,01;739;Germany;-1,84
30/05/2024;Supplier A;Office Supplies;12310,42;5;Germany;-8,16
01/07/2024;Supplier D;Logistics;39695,2;545;France;-4,86
24/12/2024;Supplier C;Raw Materials;12074,47;464;China;-4,59
24/04/2024;Supplier D;Raw Materials;27578,79;77;Brazil;-1,48
04/02/2023;Supplier A;Logistics;43265,83;920;China;10,04
06/08/2023;Supplier A;Office Supplies;2058,24;493;USA;-8,87
05/08/2023;Supplier B;Logistics;33777,93;492;UK;12,79
20/08/2024;Supplier B;Consulting;41855,2;75;Brazil;-7,34
20/12/2023;Supplier D;Raw Materials;26408,07;773;USA;10,18
08/07/2023;Supplier E;Consulting;1945,91;602;Germany;13,26
06/10/2024;Supplier E;Consulting;9071,51;602;China;-1,34
05/12/2024;Supplier D;IT Equipment;28472,76;196;China;13,79
15/03/2024;Supplier C;Office Supplies;7086,39;395;UK;10,48
18/03/2024;Supplier E;IT Equipment;48420,1;923;China;11,74
22/06/2023;Supplier B;Logistics;28673,37;325;China;1,3
05/02/2024;Supplier B;Office Supplies;3271,89;592;France;13,5
14/12/2024;Supplier C;Office Supplies;10953,38;75;Germany;9,85
13/10/2024;Supplier D;Consulting;17862,73;631;Germany;12,86
26/01/2023;Supplier E;Consulting;29495,73;661;China;4,61
22/08/2023;Supplier B;Raw Materials;12152,93;527;France;11,56
10/07/2023;Supplier E;Raw Materials;19029,85;754;France;-1,4
26/01/2024;Supplier D;Raw Materials;11061,1;630;UK;11,56
31/03/2024;Supplier A;Consulting;42385,63;280;France;9,05
14/09/2024;Supplier E;Raw Materials;43033,35;554;Brazil;11,61
11/05/2024;Supplier B;Consulting;12551,02;767;USA;-9,89
14/12/2024;Supplier A;IT Equipment;37900,23;557;China;-5,49
26/07/2023;Supplier A;Consulting;18806,27;550;USA;-8,06
20/05/2024;Supplier C;Office Supplies;29306,5;767;Brazil;-7,46
12/09/2024;Supplier B;Consulting;28293,53;973;China;-7
14/05/2024;Supplier C;Consulting;14044,75;827;UK;-9,21
21/04/2024;Supplier E;Consulting;21394,59;707;USA;8,1
07/01/2024;Supplier A;Raw Materials;34048,92;516;India;-5,51
26/06/2023;Supplier E;Logistics;34270,49;530;Brazil;6,38
26/02/2024;Supplier E;IT Equipment;5362,84;303;Germany;12,57
04/02/2024;Supplier B;Logistics;41218,91;530;China;12,05
13/10/2023;Supplier E;IT Equipment;13228,97;383;UK;1,14
26/08/2023;Supplier A;Logistics;10707,44;33;India;-9,3
23/08/2023;Supplier E;Office Supplies;7023,96;3;USA;0,67
25/05/2023;Supplier C;Logistics;13332,05;438;USA;7,23
08/11/2024;Supplier B;IT Equipment;5169,88;453;India;12,67
24/02/2023;Supplier B;IT Equipment;10656,09;297;USA;6,21
02/03/2023;Supplier A;Raw Materials;8815,86;600;China;8,1
18/11/2023;Supplier C;IT Equipment;8081,3;445;Brazil;8,42
06/08/2023;Supplier E;Consulting;30922,82;783;India;6,6
14/04/2024;Supplier A;Consulting;42862,56;20;China;-0,34
27/11/2024;Supplier C;Consulting;9203,59;413;China;-3,47
28/02/2023;Supplier D;Logistics;47065,54;300;India;0,03
25/11/2023;Supplier B;Office Supplies;27543,63;676;China;-2,51
03/07/2024;Supplier B;IT Equipment;24533,42;421;UK;0,09
28/06/2024;Supplier D;Logistics;32615,7;705;India;3,72
05/12/2024;Supplier C;IT Equipment;12569,15;933;India;-8,04
26/05/2024;Supplier C;Raw Materials;33941,61;965;Germany;-4,68
21/04/2023;Supplier A;Consulting;33019,55;944;China;-7,26
10/01/2024;Supplier E;Consulting;25951,4;510;Brazil;12,63
09/01/2023;Supplier D;Raw Materials;29898,78;878;UK;2,38
18/04/2023;Supplier D;Office Supplies;15613,87;61;Germany;3,38
20/10/2024;Supplier E;Office Supplies;48778,18;722;France;-2,02
16/10/2024;Supplier B;Logistics;30888,06;631;Brazil;-3,92
04/03/2024;Supplier E;Logistics;38228,5;857;China;1,2
30/10/2023;Supplier A;Consulting;12353,9;345;Brazil;-4,56
02/02/2024;Supplier C;Raw Materials;21937,53;95;France;-6,32
30/12/2023;Supplier E;Office Supplies;44600,23;83;Brazil;-1,31
28/05/2024;Supplier D;Raw Materials;22650,85;706;UK;9,77
